t,x0,y0,px0,py0,x1,y1,px1,py1,x2,y2,px2,py2
1.56,0.553833,0.348087,-1.0929,-0.210002,0.529829,-0.33845,1.10632,-0.254635,-1.08366,-0.00963669,-0.0134269,0.464637
1.57,0.542883,0.345878,-1.0968,-0.231884,0.540878,-0.340887,1.10314,-0.232777,-1.08376,-0.00499021,-0.00634105,0.464662
1.58,0.531897,0.343449,-1.10008,-0.253774,0.551892,-0.343106,1.09933,-0.210915,-1.08379,-0.000343462,0.000743671,0.464689
1.59,0.520882,0.340802,-1.10273,-0.275632,0.562865,-0.345106,1.0949,-0.189086,-1.08375,0.00430357,0.00783098,0.464718
1.6,0.509842,0.337937,-1.10478,-0.29742,0.57379,-0.346888,1.08985,-0.16733,-1.08363,0.0089509,0.0149246,0.46475
1.61,0.498786,0.334854,-1.10622,-0.3191,0.584662,-0.348452,1.08419,-0.145684,-1.08345,0.0135986,0.0220284,0.464785
1.62,0.487718,0.331555,-1.10706,-0.340635,0.595474,-0.349801,1.07791,-0.124185,-1.08319,0.0182466,0.0291459,0.464821
1.63,0.476645,0.328041,-1.10732,-0.361989,0.60622,-0.350936,1.07104,-0.102869,-1.08286,0.022895,0.0362811,0.464858
1.64,0.465572,0.324315,-1.10701,-0.383126,0.616895,-0.351859,1.06358,-0.0817712,-1.08247,0.0275438,0.0434376,0.464897
1.65,0.454505,0.320378,-1.10616,-0.404012,0.627492,-0.352571,1.05554,-0.060924,-1.082,0.0321929,0.0506193,0.464936
1.66,0.443449,0.316235,-1.10478,-0.424615,0.638005,-0.353077,1.04695,-0.0403595,-1.08145,0.0368425,0.0578298,0.464975
1.67,0.432409,0.311886,-1.1029,-0.444905,0.648431,-0.353379,1.03782,-0.0201076,-1.08084,0.0414924,0.0650729,0.465012
1.68,0.421391,0.307337,-1.10053,-0.464851,0.658762,-0.353479,1.02818,-0.000196412,-1.08015,0.0461427,0.0723523,0.465048
1.69,0.410398,0.302589,-1.09771,-0.484428,0.668994,-0.353383,1.01804,0.0193482,-1.07939,0.0507934,0.0796718,0.46508
1.7,0.399436,0.297648,-1.09447,-0.50361,0.679123,-0.353092,1.00744,0.0385023,-1.07856,0.0554443,0.0870352,0.465108
1.71,0.388509,0.292517,-1.09083,-0.522375,0.689143,-0.352612,0.996381,0.0572444,-1.07765,0.0600955,0.0944462,0.46513
1.72,0.37762,0.2872,-1.08682,-0.540701,0.69905,-0.351947,0.984907,0.0755549,-1.07667,0.0647469,0.101908,0.465146
1.73,0.366773,0.281703,-1.08247,-0.55857,0.708841,-0.351101,0.97304,0.0934168,-1.07561,0.0693985,0.109426,0.465153
1.74,0.35597,0.276029,-1.07781,-0.575965,0.718511,-0.350079,0.960805,0.110815,-1.07448,0.07405,0.117002,0.46515
1.75,0.345216,0.270184,-1.07287,-0.592873,0.728057,-0.348885,0.948231,0.127737,-1.07327,0.0787015,0.124641,0.465135
1.76,0.334513,0.264172,-1.06769,-0.60928,0.737476,-0.347524,0.935346,0.144173,-1.07199,0.0833527,0.132346,0.465107
1.77,0.323863,0.257998,-1.0623,-0.625176,0.746764,-0.346002,0.922175,0.160113,-1.07063,0.0880036,0.140121,0.465063
1.78,0.313267,0.251668,-1.05672,-0.640554,0.755919,-0.344322,0.908748,0.175552,-1.06919,0.092654,0.147969,0.465001
1.79,0.302728,0.245187,-1.05099,-0.655405,0.764939,-0.342491,0.89509,0.190486,-1.06767,0.0973036,0.155895,0.464919
1.8,0.292247,0.23856,-1.04513,-0.669727,0.773821,-0.340512,0.881229,0.204912,-1.06607,0.101952,0.163902,0.464815
1.81,0.281826,0.231792,-1.03918,-0.683515,0.782564,-0.338392,0.86719,0.218829,-1.06439,0.1066,0.171994,0.464686
1.82,0.271464,0.22489,-1.03317,-0.696767,0.791165,-0.336136,0.852998,0.232239,-1.06263,0.111246,0.180174,0.464529
1.83,0.261162,0.217857,-1.02712,-0.709484,0.799624,-0.333748,0.838678,0.245144,-1.06079,0.11589,0.188446,0.464341
1.84,0.250921,0.2107,-1.02107,-0.721667,0.807939,-0.331233,0.824253,0.257548,-1.05886,0.120533,0.196814,0.464119
1.85,0.240741,0.203424,-1.01503,-0.733317,0.816109,-0.328597,0.809746,0.269456,-1.05685,0.125173,0.205281,0.463861
1.86,0.230621,0.196034,-1.00903,-0.744437,0.824133,-0.325844,0.795178,0.280876,-1.05475,0.12981,0.213851,0.463562
1.87,0.22056,0.188535,-1.0031,-0.755033,0.832012,-0.322979,0.780569,0.291814,-1.05257,0.134444,0.222527,0.463219
1.88,0.210559,0.180933,-0.997253,-0.765107,0.839745,-0.320007,0.76594,0.302279,-1.0503,0.139074,0.231313,0.462828
1.89,0.200615,0.173233,-0.991521,-0.774667,0.847331,-0.316934,0.751309,0.312281,-1.04795,0.143701,0.240212,0.462386
1.9,0.190728,0.16544,-0.98592,-0.783718,0.854771,-0.313762,0.736692,0.32183,-1.0455,0.148322,0.249227,0.461888
1.91,0.180897,0.157558,-0.98047,-0.792265,0.862065,-0.310497,0.722107,0.330935,-1.04296,0.152938,0.258363,0.46133
1.92,0.171119,0.149594,-0.975189,-0.800317,0.869213,-0.307143,0.707567,0.33961,-1.04033,0.157549,0.267622,0.460707
1.93,0.161393,0.141552,-0.970094,-0.807879,0.876216,-0.303705,0.693087,0.347865,-1.03761,0.162153,0.277007,0.460014
